track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage,lifecycle_stage,retention_stability_index,entry_age_days,content_maturity,retention_segment,entry_strength
m€ntiras | cruz cafuné,m€ntiras,Cruz Cafuné,2025-07-21,2025-07-21,43,43,43,1,54,54,54,single,6,True,2.530683333333333,1,1,1.0,100.0,2025-07-21,43,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,429,Established,Short Retention,Weak Entry
mencionar | eladio carrion,Mencionar,Eladio Carrion,2025-01-21,2025-01-21,42,42,42,1,66,66,66,album,17,False,2.3636333333333335,1,1,1.0,100.0,2025-01-21,42,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,248,Established,Short Retention,Weak Entry
mejor así | myke towers,MEJOR ASÍ,Myke Towers,2025-08-24,2025-08-24,37,37,37,1,0,0,0,album,20,True,3.658,1,1,1.0,100.0,2025-08-24,37,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,463,Established,Short Retention,Weak Entry
mamasota | manuel turizo & yandel,Mamasota,Manuel Turizo & Yandel,2025-03-15,2025-03-15,50,50,50,1,78,78,78,single,1,False,3.607066666666667,1,1,1.0,100.0,2025-03-15,50,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,301,Established,Short Retention,Weak Entry
mama's boy | eladio carrion,Mama's Boy,Eladio Carrion,2025-01-21,2025-01-21,34,34,34,1,66,66,66,album,17,False,3.7045333333333335,1,1,1.0,100.0,2025-01-21,34,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,248,Established,Short Retention,Weak Entry
ma meilleure ennemie (from the series arcane league of legends) | stromae & pomme & arcane,Ma Meilleure Ennemie (from the series Arcane League of Legends),Stromae & Pomme & Arcane,2025-11-27,2025-11-27,38,38,38,1,77,77,77,single,1,False,2.4662166666666665,1,1,1.0,100.0,2025-11-27,38,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,558,Established,Short Retention,Weak Entry
luchas mentales | eladio carrion,Luchas Mentales,Eladio Carrion,2025-01-21,2025-01-21,43,43,43,1,66,66,66,album,17,False,2.7805833333333334,1,1,1.0,100.0,2025-01-21,43,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,248,Established,Short Retention,Weak Entry
lo que no ves de mí | juanjo bona,Lo que no ves de mí,Juanjo Bona,2025-04-18,2025-04-18,38,38,38,1,69,69,69,single,1,False,2.4,1,1,1.0,100.0,2025-04-18,38,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,335,Established,Short Retention,Weak Entry
like i can (feat. aitana) | sam smith & aitana,Like I Can (feat. Aitana),Sam Smith & Aitana,2025-08-10,2025-08-10,42,42,42,1,38,38,38,single,1,False,2.77845,1,1,1.0,100.0,2025-08-10,42,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,449,Established,Short Retention,Weak Entry
tranquila baby | eladio carrion,Tranquila Baby,Eladio Carrion,2025-01-21,2025-01-21,32,32,32,1,67,67,67,album,17,True,2.1333333333333333,1,1,1.0,100.0,2025-01-21,32,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,248,Established,Short Retention,Weak Entry
