song,artist,days_on_playlist,best_position,entry_position,time_to_peak_days,retention_stability_index
BADGYAL,SAIKO,210,1,4,3,86.2
Rara Vez,Taiu & Milo j,210,15,16,2,59.62
PLAYA DEL INGLÉS,Quevedo,209,15,15,0,66.32
Martini,Dei V,206,7,40,46,61.28
WANDA,Quevedo,204,18,18,0,62.71
FRIKI,Gonzy,201,8,49,47,98.09
Quien Es Dei V?,Dei V,198,10,37,10,85.1
Classy 101,Feid & Young Miko,198,7,7,0,79.59
Madrid City,Ana Mena,198,13,16,95,84.91
Si No Estás,iñigo quintero,196,1,48,9,77.47
OA,Anuel AA & Quevedo & Maluma,194,3,8,26,80.66
Santa,Rvssian,190,2,2,0,88.6
El Patio,Pepe y Vizio & Delaossa & KIDDO,187,8,47,13,63.5
El Conjuntito,El Bobe & Omar Montes,184,1,32,16,78.62
ESKELETO,SAIKO,179,11,12,4,51.08
El Fin del Mundo,La La Love You,174,37,48,83,55.25
DONDE SE APRENDE A QUERER?,Mora,172,3,3,0,71.2
Casanova,Soolking & Lola Indigo & Rvfv,171,1,12,22,75.36
El Merengue,Marshmello & Manuel Turizo,170,5,5,0,89.41
Buenas,Quevedo & Saiko,170,1,1,0,81.66
TU$$I (with Dei V),YOVNGCHIMI,169,11,50,18,81.71
Gata Only,FloyyMenor & Cris Mj,167,2,41,41,93.9
Rapido (with Cris Mj),Dei V,165,5,33,67,92.01
REAL GANGSTA LOVE,Trueno,164,1,49,6,72.48
LA REINA,Lola Indigo,164,4,17,4,87.68
FARDOS,JC Reyes & De La Ghetto,163,1,14,4,80.21
WHERE SHE GOES,Bad Bunny,161,1,1,0,74.11
Diabólica,Cris Mj,160,14,50,10,82.05
Si Antes Te Hubiera Conocido,KAROL G,159,1,6,10,95.82
Una Foto Remix (feat. Emilia),Mesita & Nicki Nicole & Tiago PZK,156,6,36,21,75.47
A 300,JC Reyes & Pedro Calderon,153,15,50,152,84.76
"Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)",Oscar el Ruso & Samuel G & Omar Montes,151,26,49,38,40.77
WYA REMIX RED,J Abdiel & De La Rose & Yan Block,151,22,43,23,84.11
El Mambo,Kiko Rivera,149,2,39,9,75.32
No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,149,13,47,78,85.05
COCO LOCO,Maluma,149,9,50,36,59.85
Goteras,Omar Montes & JC Reyes,147,1,7,8,78.15
Ohnana,Kapo,147,2,40,28,91.43
Corazón Roto pt. 3,Brray & Anuel AA & Chencho Corleone,145,21,35,14,58.01
BESO,ROSALÍA & Rauw Alejandro,142,4,4,0,78.44
Trending Remix (with Myke Towers),Dei V,140,10,45,7,81.88
NO PIENSO LLAMAR,Soge Culebra,140,7,41,70,86.87
CRUSH,Sky Rompiendo & Dei V,139,15,47,20,81.89
Antidepresivos,Saiko,136,13,13,0,84.9
Coco Chanel,Eladio Carrion,135,16,17,6,76.65
SEYA,GIMS,130,21,50,60,82.31
Yandel 150,Yandel,129,10,10,0,77.3
Todo Contigo,Álvaro De Luna,129,12,12,0,98.69
"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap & Milo j,127,1,1,0,25.48
LUCES DE TECNO,Feid,127,7,7,0,82.14
Mami Chula,Jhayco & Quevedo,124,6,6,0,72.97
COMUNA 3,JC Reyes & The Rudeboyz,123,12,38,18,79.27
SEDA,Bad Bunny,123,6,6,0,71.34
Déjame Entrar,Rauw Alejandro,122,17,47,115,4.81
ASI ES LA VIDA,Enrique Iglesias & Maria Becerra,122,38,50,70,54.34
lady madrizZz,céro,120,8,47,13,75.21
Luna llena,Beny Jr,120,4,40,75,88.62
PELIGROSA,FloyyMenor,120,3,49,39,98.56
Potra Salvaje - Hard Remix,Isabel Aaiún & Fernando Moreno,119,3,47,20,80.04
ADIVINO,Myke Towers & Bad Bunny,118,1,1,0,83.45
Hey Mor,Ozuna,118,30,30,0,69.46
Cupido,TINI,118,17,19,1,68.78
