song,artist,entry_position,best_position,rank_improvement,days_on_playlist
APT.,ROSÉ & Bruno Mars,45,42,3,10
DUBAI,Trueno & Beny Jr,50,47,3,8
LA FALDA,Myke Towers,3,1,2,364
Nochentera,Vicco,11,9,2,237
Clavaito,Chanel & Abraham Mateo,8,6,2,232
Cupido,TINI,19,17,2,118
YO LO SOÑÉ,SAIKO,3,1,2,111
Si La Calle Llama - Remix,Eladio Carrion,22,20,2,104
Acróstico,Shakira,3,1,2,53
Mi Nena Remix,Maikel Delacalle & Quevedo,28,26,2,24
En To Lao,Haze & Jhayco,47,45,2,17
BABY HELLO,Rauw Alejandro & Bizarrap,4,2,2,14
"Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap & Natanael Cano,34,32,2,8
Vida De Rock,Duki,36,34,2,8
BUBALU,Feid & Rema,23,21,2,6
No Digas Na,Feid & Yandel,50,48,2,4
SHIBATTO,Quevedo,5,3,2,4
El Merengue,Marshmello,20,19,1,380
Rara Vez,Taiu & Milo j,16,15,1,210
ESKELETO,SAIKO,12,11,1,179
Coco Chanel,Eladio Carrion,17,16,1,135
OTRA NOCHE (feat. Darell),Myke Towers,12,11,1,85
Hey Lil Mama,Eladio Carrion,9,8,1,83
Niña Bonita,Feid & Sean Paul,14,13,1,83
LAS BABYS,Aitana,5,4,1,82
Cafe Malibú,Sech & Mora & Saiko,10,9,1,59
No Estuviste En Lo Malo,Morad,47,46,1,37
CHULA,JC Reyes,50,49,1,24
Flow Violento - Remix,YoSoyPlex & Ruven,47,46,1,22
POLARIS - Remix,SAIKO,32,31,1,12
Sport+ RMX,Clarent & Myke Towers,48,47,1,9
Taste,Sabrina Carpenter,48,47,1,6
MR. MOONDIAL,Quevedo,6,5,1,4
AQYNE,Aitana,41,40,1,3
Problemas Mentales,JZAEB & Eix,23,22,1,3
Solita y SueltAAA,Rels B,50,49,1,3
Fecha - Intro Extended,Renzo Pianciola,47,46,1,2
TQG,KAROL G,9,9,0,448
MI EX TENÍA RAZÓN,KAROL G,16,16,0,353
Supernova,Saiko,1,1,0,351
POLARIS - Remix,Saiko & Feid & Quevedo,1,1,0,314
BABY HELLO,Rauw Alejandro,3,3,0,285
1000COSAS,Lola Indigo & Manuel Turizo,3,3,0,249
EL TONTO,Lola Indigo,2,2,0,238
REINA,Mora,1,1,0,231
X'CLUSIVO - REMIX,Gonzy & SAIKO & Arcángel,1,1,0,224
PLAYA DEL INGLÉS,Quevedo,15,15,0,209
WANDA,Quevedo,18,18,0,204
Classy 101,Feid & Young Miko,7,7,0,198
Santa,Rvssian,2,2,0,190
DONDE SE APRENDE A QUERER?,Mora,3,3,0,172
Buenas,Quevedo & Saiko,1,1,0,170
El Merengue,Marshmello & Manuel Turizo,5,5,0,170
WHERE SHE GOES,Bad Bunny,1,1,0,161
BESO,ROSALÍA & Rauw Alejandro,4,4,0,142
Antidepresivos,Saiko,13,13,0,136
Todo Contigo,Álvaro De Luna,12,12,0,129
Yandel 150,Yandel,10,10,0,129
LUCES DE TECNO,Feid,7,7,0,127
"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap & Milo j,1,1,0,127
Mami Chula,Jhayco & Quevedo,6,6,0,124
SEDA,Bad Bunny,6,6,0,123
ADIVINO,Myke Towers & Bad Bunny,1,1,0,118
Hey Mor,Ozuna,30,30,0,118
No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,12,12,0,117
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,1,1,0,112
"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap & Young Miko,1,1,0,104
ZORRA,Nebulossa,8,8,0,103
MONACO,Bad Bunny,1,1,0,91
ADIVINO,Myke Towers,10,10,0,85
UNA BACHATA,Lola Indigo,8,8,0,83
Los Ángeles,Aitana,20,20,0,80
Arranca (feat. Omega),Becky G & Omega,38,38,0,69
Antes,Rvfv & Edu García,29,29,0,66
Gata Only,FloyyMenor,15,15,0,66
LA SEVILLANA - SEVILLANAS,Omar Montes,8,8,0,60
HIBIKI,Bad Bunny,2,2,0,49
LA ÚLTIMA,Quevedo,1,1,0,49
CLASSY 101,Feid,16,16,0,47
PASAJERO,Mora,4,4,0,45
X'CLUSIVO - REMIX,Gonzy,21,21,0,42
Mi Lova,Bad Gyal & Myke Towers,14,14,0,41
FERXXO 151,Feid,17,17,0,38
TUYA,ROSALÍA,6,6,0,38
UN PREVIEW,Bad Bunny,1,1,0,37
FINA,Bad Bunny,4,4,0,36
Akureyri,Aitana & Sebastian Yatra,10,10,0,35
FERXXO 151,Feid & ICON,9,9,0,35
THUNDER Y LIGHTNING,Bad Bunny,14,14,0,35
MOJABI GHOST,Tainy,6,6,0,33
miamor,Aitana & Rels B,4,4,0,29
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,2,2,0,29
QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,13,13,0,29
BAD BOY,Chris Jedi & Gaby Music & Dei V,16,16,0,28
CHORRITO PA LAS ANIMAS,Feid,32,32,0,28
haz lo que quieras conmigo,Walls,33,33,0,28
Copa Vacía,Shakira & Manuel Turizo,16,16,0,27
APAGA EL CEL,FloyyMenor,22,22,0,26
DURO,Quevedo,1,1,0,26
CORLEONE,Saiko,21,21,0,23
MEDIA LUNA,Mora,5,5,0,23
No Te Quieren Conmigo - Remix,Gaby Music & Anuel AA & Luar La L,17,17,0,21
Que te vaya bien,Rvfv,26,26,0,21
Passoa,JHAYCO,27,27,0,20
Sangre y Fe,Cruz Cafuné,6,6,0,20
Conexión,Cano,27,27,0,19
57,KAROL G & Feid & DFZM,8,8,0,18
Besitos BB 2.0,El Perla & Omar Montes & SAIKO,9,9,0,16
Tattoo,Loreen,21,21,0,16
BABY NUEVA,Bad Bunny,12,12,0,15
IA,Clarent & Mora,1,1,0,15
NADIE SABE,Bad Bunny,3,3,0,15
TELEFONO NUEVO,Bad Bunny,9,9,0,15
Doblexxó,J Balvin,33,33,0,14
K-POP,Travis Scott & Bad Bunny & The Weeknd,21,21,0,14
New Woman (feat. ROSALÍA),LISA & ROSALÍA,15,15,0,14
Omega (feat. Ralphie Choo),ROSALÍA,3,3,0,14
SexeSexy,Mushkaa,40,40,0,14
"VVS Switch (feat. Hades66, Luar La L & CDobleta) - Remix",Pressure 9X19 & Anuel AA & YOVNGCHIMI,13,13,0,14
Bandidona,Saiko,20,20,0,13
Xxx_Rosario_xxX,Saiko,23,23,0,13
DIABLITA (feat. YOVNGCHIMI),Myke Towers,34,34,0,12
GANGSTER (PQFNEDG),Ovy On The Drums & Quevedo & Yandel,15,15,0,12
LUNA,SAIKO,9,9,0,12
NÚMERO TELEFÓNICO,SAIKO,14,14,0,12
58,JHAYCO,35,35,0,11
LA BABY,Tainy,25,25,0,11
PÓLVORA,Mora,8,8,0,11
Qué Pasaría...,Rauw Alejandro,1,1,0,11
Se Fue,Rauw Alejandro,5,5,0,11
4TO 23,Aitana,17,17,0,10
3 CAÍDAS,SAIKO,13,13,0,8
COMETA HALLEY,SAIKO,24,24,0,8
Constelación,Duki,26,26,0,8
CYBERTRUCK,Bad Bunny,8,8,0,8
MERCEDES CAROTA,Bad Bunny,17,17,0,8
MR. OCTOBER,Bad Bunny,7,7,0,8
RoCKSTAR 2.0,Duki,16,16,0,8
ACHO PR,Bad Bunny,15,15,0,7
BUBALU,Feid,26,26,0,7
CHIHIRO,Billie Eilish,39,39,0,7
Cohete,Shakira,21,21,0,7
FERXXO 30,Feid,32,32,0,7
GRACIAS POR NADA,Bad Bunny,11,11,0,7
Houdini,Dua Lipa,23,23,0,7
LOS PITS,Bad Bunny,20,20,0,7
NO PIENSO LLAMAR,Soge Culebra & Quevedo & GARABATTO,16,16,0,7
Revolú,Rauw Alejandro,10,10,0,7
RÁPIDO,Mora,41,41,0,7
Sin Gato (MIAU!),Rels B,45,45,0,7
Trato De Estar Bien,Duki,37,37,0,7
Tú Con Él,Rauw Alejandro,12,12,0,7
VENTE CONMIGO,Feid,22,22,0,7
Bendecido,Eladio Carrion,7,7,0,6
Dararí,Aitana,13,13,0,6
FANTASÍAS,Mora,9,9,0,6
la raíz d€l mal,Cruz Cafuné,42,42,0,6
Malicia,DELLAFUENTE,29,29,0,6
Ni Me Conozco,Rauw Alejandro,26,26,0,6
NO ME QUIERO CASAR,Bad Bunny,22,22,0,6
Razones,Ozuna & Anuel AA & Mambo Kingz,16,16,0,6
Romero Santo,DELLAFUENTE,31,31,0,6
Una Velita,Bad Bunny,7,7,0,6
BATICANO,Bad Bunny,23,23,0,5
Brindis,Duki,30,30,0,5
COSMETICOS,Myke Towers,33,33,0,5
Espresso Martini,Rauw Alejandro,21,21,0,5
HEY BB,SAIKO,26,26,0,5
KTM,Jhayco & Bryant Myers & Luar La L,16,16,0,5
NANA DEL HILO ROJO,SAIKO,16,16,0,5
The Code,Nemo,24,24,0,5
VOU 787,Bad Bunny,13,13,0,5
VUELVE CANDY B,Bad Bunny,19,19,0,5
14 FEBREROS,Quevedo,9,9,0,4
ALAKRAN,Feid,24,24,0,4
AMANECIÓ,Quevedo,13,13,0,4
Baja Pa' Acá,Rauw Alejandro,22,22,0,4
BOREAL,SAIKO,22,22,0,4
BUENAS NOCHES,Quevedo,18,18,0,4
caída del cielo <3,Rels B,38,38,0,4
CHAPIADORA.COM,Quevedo,8,8,0,4
CÓRCEGA,Mora,17,17,0,4
DIAMONDS,Mora,18,18,0,4
EL CHACAL,Mora,10,10,0,4
EL ESTRIBILLO,Quevedo,16,16,0,4
GRAN VÍA,Quevedo,1,1,0,4
HALO,Quevedo,7,7,0,4
IGUALES,Quevedo,3,3,0,4
KASSANDRA,Quevedo,2,2,0,4
LA 125,Quevedo,10,10,0,4
La Canción Feliz Del Disco,Eladio Carrion,13,13,0,4
LAGUNA,Mora,11,11,0,4
LOKITA,Mora,13,13,0,4
LOS DÍAS CONTADOS,Quevedo,4,4,0,4
Maquillaje - Remix,refracted arg,32,32,0,4
NOEMÚ,Quevedo,15,15,0,4
PERROS&GATA$,Nicki Nicole & SAIKO,45,45,0,4
PIDE,Mora,15,15,0,4
POR ATRÁS,Quevedo,11,11,0,4
QUE ASCO DE TODO,Quevedo,19,19,0,4
Qué Pecao,Manuel Turizo,34,34,0,4
Remember Me,Duki,43,43,0,4
RKO,Eladio Carrion,20,20,0,4
SI TE PEGAS,Rauw Alejandro,30,30,0,4
T'as peur,Aya Nakamura,45,45,0,4
TE FALLÉ,Quevedo,17,17,0,4
Ayer,DELLAFUENTE,37,37,0,3
Cha Cha Cha,Käärijä,37,37,0,3
Espectacular,Sky Rompiendo & Rauw Alejandro,49,49,0,3
Feliz Navidad,José Feliciano,5,5,0,3
Historias Por Contar,Operación Triunfo 2023,28,28,0,3
Holly Jolly Christmas,Michael Bublé,24,24,0,3
It's Beginning to Look a Lot like Christmas,Michael Bublé,16,16,0,3
It's the Most Wonderful Time of the Year,Andy Williams,12,12,0,3
Jingle Bell Rock,Bobby Helms,10,10,0,3
La Vida Sin Ti,Rels B & Lia Kali,15,15,0,3
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,15,15,0,3
MI DROGA,Myke Towers,46,46,0,3
miamor,Aitana,34,34,0,3
Mis Tías,Juanjo Bona,44,44,0,3
Paz,Morad,44,44,0,3
Santa Tell Me,Ariana Grande,17,17,0,3
Sleigh Ride,The Ronettes,28,28,0,3
Snowman,Sia,27,27,0,3
Sofi - Remix,Samueliyo Baby & KEVIN ROLDAN,22,22,0,3
Underneath the Tree,Kelly Clarkson,22,22,0,3
VAGABUNDO,Sebastian Yatra,14,14,0,3
4 PREZ,Cruz Cafuné,35,35,0,2
AYER Y HOY,Mora,23,23,0,2
BIRDS OF A FEATHER,Billie Eilish,49,49,0,2
COMPETENCIA,Myke Towers,19,19,0,2
Constelación,Duki & Lia Kali,29,29,0,2
Cosa Nuestra,Rauw Alejandro,16,16,0,2
DE PLASTILINA,Lola Indigo & Pepe y Vizio,40,40,0,2
Feliz Navidad,Saiko,36,36,0,2
FERXXO EDITION,Feid,43,43,0,2
FINALES DE AGOSTO,SAIKO,40,40,0,2
GANGSTERS Y PISTOLAS,Feid,25,25,0,2
Gata Only (Mashup),Dj Agus Lima,5,5,0,2
LA RIJANA,SAIKO,41,41,0,2
La roja baila - Himno oficial de la selección española,Sergio Ramos & Niña Pastori & RedOne,9,9,0,2
MAREA,Mora,24,24,0,2
"Milo J: Bzrp Music Sessions, Vol. 57",Paul Thin,39,39,0,2
PRIVILEGIOS,Feid,46,46,0,2
"Ptazeta: Bzrp Music Sessions, Vol. 45",Paul Thin & RUSLANA,42,42,0,2
RITMO DE MEDALLO,Feid,37,37,0,2
SE TE NOTA (feat. Peso Pluma),Myke Towers,27,27,0,2
Shars 2023,Al Safir,21,21,0,2
SPANISH TETEO,Rvfv & Rels B & Omar Montes,50,50,0,2
UN DESEO,Mora,20,20,0,2
"1 de Enero, Puntacana",Rels B,45,45,0,1
50 PALOS,Feid,38,38,0,1
Amar De Nuevo,Rauw Alejandro,45,45,0,1
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),Don Toliver,46,46,0,1
AUNQUE LLEGUE OTRO (feat. Jay Wheeler),Myke Towers,23,23,0,1
BANDIT,Don Toliver,27,27,0,1
Barro,Duki,40,40,0,1
Beso Prohibido,Beny Jr,49,49,0,1
CACHÉ,Myke Towers,47,47,0,1
CALL ME MAYBE,Duki,50,50,0,1
Cangrinaje,Cruz Cafuné,48,48,0,1
CARTERA & TACOS,Myke Towers,47,47,0,1
Caserio,Yandel & SAIKO,41,41,0,1
Cine 🚬,Duki,42,42,0,1
Committed,Rauw Alejandro,29,29,0,1
Cruel Summer,Taylor Swift,39,39,0,1
Cómo Te Atreves,Morat,45,45,0,1
DESQUITE,Feid,39,39,0,1
Detrás del DJ,Rels B,39,39,0,1
DINERO y FAMA (feat. Omar Montes),Myke Towers,40,40,0,1
Dios #1,Cruz Cafuné,43,43,0,1
do it 4 th€ gram,Cruz Cafuné,34,34,0,1
