track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage
un rodeoooo | rels b,Un Rodeoooo,Rels B,2024-07-23,2024-09-23,48,36,46,57,59,78,77,album,9,False,2.2680333333333333,63,63,0.9047619047619048,90.47619047619048,2024-08-10,36,18,-0.07810474462017153,0.19179414052372248,12,-2,Stable,18,30.508474576271187
un x100to | grupo frontera & bad bunny,un x100to,Grupo Frontera & Bad Bunny,2024-05-18,2024-06-14,34,31,50,27,99,100,100,single,1,False,3.2427166666666665,28,28,0.9642857142857143,96.42857142857143,2024-05-21,31,3,0.6697191697191701,0.007936507936509083,3,16,Stable,1,1.0101010101010102
una bachata | lola indigo,UNA BACHATA,Lola Indigo,2025-02-04,2025-04-27,8,8,46,77,60,77,73,album,7,False,2.6307666666666667,83,83,0.927710843373494,92.7710843373494,2025-02-04,8,0,0.5635154319364846,0.024580682475419596,0,38,Stable,13,21.666666666666668
una foto remix (feat. emilia) | mesita & nicki nicole & tiago pzk,Una Foto Remix (feat. Emilia),Mesita & Nicki Nicole & Tiago PZK,2025-01-11,2025-06-15,36,6,49,154,77,92,77,single,1,False,4.064966666666667,156,156,0.9871794871794872,98.71794871794873,2025-02-01,6,21,0.308082177152386,-0.034236099131734934,30,13,Stable,0,0.0
una velita | bad bunny,Una Velita,Bad Bunny,2025-09-22,2025-09-27,7,7,46,6,72,78,78,single,1,True,3.9997666666666665,6,6,1.0,100.0,2025-09-22,7,0,5.885714285714283,1.2285714285714286,0,39,Declining,6,8.333333333333332
underneath the tree | kelly clarkson,Underneath the Tree,Kelly Clarkson,2024-12-25,2024-12-27,22,22,40,3,86,86,86,album,14,False,3.8273333333333333,3,3,1.0,100.0,2024-12-25,22,0,8.999999999999993,-2.0848271664972285e-15,0,18,Declining,0,0.0
uwaie | kapo,UWAIE,Kapo,2025-08-20,2025-11-27,27,2,42,100,69,89,86,single,1,False,2.8737833333333334,100,100,1.0,100.0,2025-08-29,2,9,0.19301530153015292,0.05486948694869452,25,15,Stable,17,24.637681159420293
vacile | yan block,Vacile,Yan Block,2025-08-15,2025-11-27,36,16,47,105,73,79,78,single,1,True,2.3373166666666667,105,105,1.0,100.0,2025-10-17,16,63,-0.012979473356832001,0.02381297947335664,20,11,Stable,5,6.8493150684931505
vagabundo | sebastian yatra,VAGABUNDO,Sebastian Yatra,2024-09-24,2024-09-26,14,14,20,3,3,44,44,album,12,False,3.5933333333333333,3,3,1.0,100.0,2024-09-24,14,0,2.9999999999999982,20.5,0,6,Declining,41,1366.6666666666665
vagabundo | sebastian yatra & manuel turizo & beéle,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,2024-05-18,2025-10-16,39,3,47,385,76,91,78,single,1,False,3.5933333333333333,517,517,0.7446808510638298,74.46808510638297,2024-06-04,3,17,0.12964660016149654,-0.027986424197563996,36,8,Stable,2,2.631578947368421
vampire | olivia rodrigo,vampire,Olivia Rodrigo,2024-07-02,2024-07-02,48,48,48,1,85,85,85,single,1,True,3.6620666666666666,1,1,1.0,100.0,2024-07-02,48,0,0.0,0.0,0,0,Stable,0,0.0
vente conmigo | feid,VENTE CONMIGO,Feid,2024-08-06,2024-08-12,22,22,50,7,71,80,80,single,1,False,3.1,7,7,1.0,100.0,2024-08-06,22,0,5.535714285714286,1.3928571428571472,0,28,Declining,9,12.676056338028168
vida de rock | duki,Vida De Rock,Duki,2025-11-03,2025-11-10,36,34,48,8,62,73,73,album,15,True,3.02505,8,8,1.0,100.0,2025-11-07,34,4,0.3214285714285698,1.4285714285714284,2,12,Stable,11,17.741935483870968
vista al mar | quevedo,VISTA AL MAR,Quevedo,2024-05-21,2024-07-29,50,43,50,33,83,83,83,album,16,False,3.0112,70,70,0.4714285714285714,47.14285714285714,2024-05-30,43,9,0.10494652406417032,0.018048128342245433,7,0,Stable,0,0.0
volver | tainy,VOLVER,Tainy,2024-07-02,2024-07-02,49,49,49,1,69,69,69,album,19,True,3.0967666666666664,1,1,1.0,100.0,2024-07-02,49,0,0.0,0.0,0,0,Stable,0,0.0
vou 787 | bad bunny,VOU 787,Bad Bunny,2024-10-14,2024-10-18,13,13,37,5,0,85,85,album,22,True,2.0607166666666665,5,5,1.0,100.0,2024-10-14,13,0,7.2,17.000000000000004,0,24,Declining,85,
vuelve candy b | bad bunny,VUELVE CANDY B,Bad Bunny,2024-10-14,2024-10-18,19,19,41,5,0,83,83,album,22,True,4.436183333333333,5,5,1.0,100.0,2024-10-14,19,0,6.599999999999999,16.599999999999994,0,22,Declining,83,
"vvs switch (feat. hades66, luar la l & cdobleta) - remix | pressure 9x19 & anuel aa & yovngchimi","VVS Switch (feat. Hades66, Luar La L & CDobleta) - Remix",Pressure 9X19 & Anuel AA & YOVNGCHIMI,2025-03-17,2025-03-30,13,13,50,13,67,79,79,single,1,True,9.251183333333334,14,14,0.9285714285714286,92.85714285714286,2025-03-17,13,0,2.609890109890111,0.8681318681318703,0,37,Declining,12,17.91044776119403
wanda | quevedo,WANDA,Quevedo,2024-05-18,2024-12-07,18,18,49,145,87,88,82,album,16,False,2.6818166666666667,204,204,0.7107843137254902,71.07843137254902,2024-05-18,18,0,0.13337663360100768,-0.03988741930404648,0,31,Stable,-5,-5.747126436781609
we can't be friends (wait for your love) | ariana grande,we can't be friends (wait for your love),Ariana Grande,2025-03-11,2025-03-20,46,31,47,8,81,92,92,album,13,False,3.81065,10,10,0.8,80.0,2025-03-13,31,2,0.8095238095238086,1.488095238095232,15,1,Declining,11,13.580246913580247
where she goes | bad bunny,WHERE SHE GOES,Bad Bunny,2024-05-21,2024-10-28,1,1,49,154,82,100,85,single,1,True,3.8617333333333335,161,161,0.9565217391304348,95.65217391304348,2024-05-21,1,0,0.29059529970345915,-0.0746379490212507,0,48,Stable,3,3.6585365853658534
whisky | samuel g & oscar el ruso & aissa,Whisky,Samuel G & Oscar el Ruso & Aissa,2025-07-17,2025-07-31,41,30,50,15,65,71,71,single,1,False,5.08775,15,15,1.0,100.0,2025-07-21,30,4,0.6249999999999999,0.39285714285714635,11,9,Stable,6,9.230769230769232
wya remix red | j abdiel & de la rose & yan block,WYA REMIX RED,J Abdiel & De La Rose & Yan Block,2025-06-19,2025-11-16,43,22,46,140,73,84,81,single,1,True,5.36235,151,151,0.9271523178807947,92.71523178807946,2025-07-12,22,23,0.10233320942030555,0.01983337342284208,21,3,Stable,8,10.95890410958904
x'clusivo - remix | gonzy,X'CLUSIVO - REMIX,Gonzy,2025-10-13,2025-11-23,21,21,40,42,29,64,64,album,18,True,3.4688833333333333,42,42,1.0,100.0,2025-10-13,21,0,0.2974637387569894,0.5375577343813311,0,19,Stable,35,120.6896551724138
x'clusivo - remix | gonzy & saiko & arcángel,X'CLUSIVO - REMIX,Gonzy & SAIKO & Arcángel,2025-03-03,2025-10-12,1,1,22,220,66,84,74,single,1,True,3.4688833333333333,224,224,0.9821428571428571,98.21428571428571,2025-03-03,1,0,0.13756275956114802,-0.031711398995847295,0,21,Stable,8,12.121212121212121
x'clusivo | gonzy,X'CLUSIVO,Gonzy,2025-01-31,2025-03-09,41,3,49,38,72,81,79,single,1,True,2.926433333333333,38,38,1.0,100.0,2025-03-02,3,30,0.16960280118174872,0.2037422037422045,38,8,Stable,7,9.722222222222223
xxx_rosario_xxx | saiko,Xxx_Rosario_xxX,Saiko,2024-12-24,2025-01-05,23,23,42,13,58,71,71,album,7,True,3.1489333333333334,13,13,1.0,100.0,2024-12-24,23,0,0.3681318681318686,1.0384615384615405,0,19,Stable,13,22.413793103448278
ya es navidad popurrí: ya es navidad- zúmbale a la pandereta - ya vienen los reyes magos - arre borriquito - ya es navidad | raya real,Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad,Raya Real,2024-12-25,2024-12-25,34,34,34,1,50,50,50,album,9,False,4.369066666666667,1,1,1.0,100.0,2024-12-25,34,0,0.0,0.0,0,0,Stable,0,0.0
yandel 150 | yandel,Yandel 150,Yandel,2024-05-18,2024-09-23,10,10,40,125,90,90,84,album,17,True,3.6024666666666665,129,129,0.9689922480620154,96.89922480620154,2024-05-18,10,0,0.25349308755760375,-0.04547465437788056,0,30,Stable,-6,-6.666666666666667
yankee 150 | yandel & feid & daddy yankee,Yankee 150,Yandel & Feid & Daddy Yankee,2024-06-18,2024-06-18,46,46,46,1,68,68,68,single,1,True,4.04445,1,1,1.0,100.0,2024-06-18,46,0,0.0,0.0,0,0,Stable,0,0.0
"yes, and? | ariana grande","yes, and?",Ariana Grande,2025-01-14,2025-01-20,37,30,40,7,85,94,94,single,1,True,3.5832333333333333,7,7,1.0,100.0,2025-01-18,30,4,0.07142857142856983,1.4285714285714273,7,3,Stable,9,10.588235294117647
yo lo soñé | saiko,YO LO SOÑÉ,SAIKO,2025-04-28,2025-08-16,3,1,46,109,56,73,67,album,16,False,2.9242666666666666,111,111,0.9819819819819819,98.1981981981982,2025-04-30,1,2,0.46605504587155955,-0.027939949958298446,2,43,Stable,11,19.642857142857142
yo lo soñé | saiko & omar montes,YO LO SOÑÉ,SAIKO & Omar Montes,2025-04-19,2025-04-27,8,2,2,9,60,75,75,single,1,False,2.9242666666666666,9,9,1.0,100.0,2025-04-25,2,6,-0.9166666666666661,1.6666666666666674,6,-6,Improving,15,25.0
yo sé | yan block & torrres,Yo sé,Yan Block & TORRRES,2025-11-01,2025-11-27,49,8,20,26,69,76,76,single,1,True,2.16175,27,27,0.9629629629629629,96.29629629629629,2025-11-22,8,21,-1.1705982905982901,0.29162393162393135,41,-29,Improving,7,10.144927536231885
yo tengo un novio | lola indigo,YO TENGO UN NOVIO,Lola Indigo,2024-12-17,2024-12-24,42,18,50,8,55,63,63,album,7,False,2.4070666666666667,8,8,1.0,100.0,2024-12-21,18,4,-1.8452380952380956,1.083333333333332,24,8,Improving,8,14.545454545454545
yotuloko | omar montes & rels b,YOTULOKO,Omar Montes & Rels B,2025-07-14,2025-11-05,36,22,46,114,57,76,72,single,1,False,3.56165,115,115,0.991304347826087,99.1304347826087,2025-07-27,22,13,0.16763937546829744,0.023401713209533995,14,10,Stable,15,26.31578947368421
"young miko: bzrp music sessions, vol. 58 | bizarrap & young miko","Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap & Young Miko,2025-01-13,2025-04-26,1,1,50,101,76,95,86,single,1,False,3.1195333333333335,104,104,0.9711538461538461,97.11538461538461,2025-01-13,1,0,0.5238672102504369,-0.0450203843913806,0,49,Stable,10,13.157894736842104
zorra | nebulossa,ZORRA,Nebulossa,2025-02-05,2025-05-18,8,8,50,21,67,75,74,single,1,True,3.059616666666667,103,103,0.20388349514563106,20.388349514563107,2025-02-05,8,0,2.025974025974026,0.19740259740259816,0,42,Declining,7,10.44776119402985
