song,artist,entry_date,exit_date,days_on_playlist,observations,continuity_percentage,best_position,lifecycle_stage
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2024-12-25,2024-12-25,1,1,100.0,33,New Entry
IL Capo,Rauw Alejandro,2025-11-17,2025-11-17,1,1,100.0,38,New Entry
Headshot,Anuel AA,2025-09-22,2025-09-22,1,1,100.0,29,New Entry
Heavy Is the Crown,Linkin Park,2025-09-27,2025-09-27,1,1,100.0,49,New Entry
Heavyweight,Eladio Carrion,2025-05-04,2025-05-04,1,1,100.0,49,New Entry
I Can Do It With a Broken Heart,Taylor Swift,2025-04-23,2025-04-23,1,1,100.0,50,New Entry
HABLAME CLARO,Yandel,2025-10-13,2025-10-13,1,1,100.0,47,New Entry
Hala Madrid ...y nada más,Real Madrid,2025-06-03,2025-06-03,1,1,100.0,43,New Entry
"Fé, Cojones y Paciencia",Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,38,New Entry
Probemas Mentales,JZAEB & Eix,2025-03-07,2025-03-07,1,1,100.0,48,New Entry
Sonrisa,Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,16,New Entry
Tanta Droga,Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,27,New Entry
Todo Lit,Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,23,New Entry
Timeless (with Playboi Carti),The Weeknd & Playboi Carti,2025-09-29,2025-09-29,1,1,100.0,50,New Entry
Tranquila Baby,Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,32,New Entry
VOLVER,Tainy,2024-07-02,2024-07-02,1,1,100.0,49,New Entry
Sigo Enamorau',Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,17,New Entry
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misión,2025-03-31,2025-03-31,1,1,100.0,16,New Entry
RITUAL,Myke Towers,2024-11-25,2024-11-25,1,1,100.0,48,New Entry
RoCKSTAR 2.0,Duki & Jhayco,2024-06-24,2024-06-24,1,1,100.0,14,New Entry
SEXO DESENFRENADO,Myke Towers,2025-08-24,2025-08-24,1,1,100.0,45,New Entry
rang€ rov€r,Cruz Cafuné,2025-07-21,2025-07-21,1,1,100.0,47,New Entry
Yankee 150,Yandel & Feid & Daddy Yankee,2024-06-18,2024-06-18,1,1,100.0,46,New Entry
vampire,Olivia Rodrigo,2024-07-02,2024-07-02,1,1,100.0,48,New Entry
Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad,Raya Real,2024-12-25,2024-12-25,1,1,100.0,34,New Entry
Tu Ritmo,Eladio Carrion,2025-01-21,2025-01-21,1,1,100.0,21,New Entry
QUEVEDO #49 AFTER HOUR THE MIXTAPE,DJ Saot ST,2024-06-04,2024-06-04,1,1,100.0,48,New Entry
Quién es Dei V?,Dei V,2025-06-16,2025-06-16,1,1,100.0,50,New Entry
Rapeadita LOVE,Rels B,2025-04-28,2025-04-28,1,1,100.0,44,New Entry
"Milo J: Bzrp Music Sessions, Vol. 57",Paul Thin,2025-02-01,2025-02-02,2,2,100.0,39,New Entry
4 PREZ,Cruz Cafuné,2024-05-28,2024-05-29,2,2,100.0,35,New Entry
GANGSTERS Y PISTOLAS,Feid,2024-09-30,2024-10-01,2,2,100.0,25,New Entry
MAREA,Mora,2024-08-30,2024-08-31,2,2,100.0,24,New Entry
AYER Y HOY,Mora,2024-08-30,2024-08-31,2,2,100.0,23,New Entry
Constelación,Duki & Lia Kali,2025-11-01,2025-11-02,2,2,100.0,29,New Entry
DEMO #5: nostalgIA - Spanglish Version,FlowGPT,2024-11-08,2024-11-09,2,2,100.0,12,New Entry
Cosa Nuestra,Rauw Alejandro,2025-11-17,2025-11-18,2,2,100.0,16,New Entry
DE PLASTILINA,Lola Indigo & Pepe y Vizio,2024-10-21,2024-10-22,2,2,100.0,40,New Entry
Gata Only (Mashup),Dj Agus Lima,2025-05-09,2025-05-10,2,2,100.0,5,New Entry
LA RIJANA,SAIKO,2025-04-28,2025-04-29,2,2,100.0,41,New Entry
La roja baila - Himno oficial de la selección española,Sergio Ramos & Niña Pastori & RedOne,2025-07-15,2025-07-16,2,2,100.0,9,New Entry
COMUNA 3,JC Reyes & The Rude Boyz,2025-05-16,2025-05-17,2,2,100.0,38,New Entry
Conexión,Cano & JC Reyes,2025-10-25,2025-10-26,2,2,100.0,40,New Entry
